pegy,insider,sentiment,vix,regime_code,time_of_day,regime,conviction,confidence,should_trade,expected_return
1.0,0.3265,0.8529,6.94,0,0.0471,bull,0.8634,0.9582,1,0.0632
0.9133,0.7129,0.5883,11.42,0,0.6274,bull,0.883,0.991,1,0.0902
0.3904,0.5325,0.5068,16.74,2,0.4222,sideways,0.5285,0.9981,0,0.0114
0.8451,0.295,0.778,11.69,0,0.3816,bull,0.7693,0.97,1,0.0709
0.0707,0.1328,0.2005,83.66,3,0.5291,crisis,0.0407,0.9986,0,-0.022
0.1165,0.0788,0.0847,92.65,3,0.8608,crisis,0.0272,0.9999,0,-0.006
0.5609,0.8836,1.0,20.16,0,0.7207,bull,0.9236,0.9827,1,0.0543
0.2274,0.5034,0.1585,49.44,1,0.537,bear,0.2343,0.9889,0,-0.0023
0.611,0.6881,0.2638,9.88,0,0.641,bull,0.6795,0.983,0,-0.0125
0.5628,1.0,0.5355,12.8,0,0.4348,bull,0.8435,0.9774,1,0.0713
0.5162,0.0,0.5326,45.1,1,0.9538,bear,0.2593,0.9694,0,-0.0198
0.5693,0.5299,0.41,20.35,2,0.2634,sideways,0.5517,0.9977,0,-0.0139
0.317,0.3824,0.6172,32.62,1,0.1787,bear,0.3256,0.9917,0,0.0113
0.0,0.1272,0.2088,77.81,3,0.8705,crisis,0.0371,0.9963,0,-0.0162
0.7188,0.6014,0.6616,19.25,0,0.6389,bull,0.785,0.9989,1,0.0641
0.1961,0.4299,0.3615,53.13,1,0.1528,bear,0.2439,0.9952,0,-0.0037
0.3757,0.416,0.6121,23.05,2,0.5394,sideways,0.5059,0.9947,0,-0.0102
0.5176,0.6916,0.4113,22.74,2,0.5304,sideways,0.5815,0.9933,0,-0.012
0.7173,0.9198,0.8738,19.07,0,0.3242,bull,0.9556,0.9962,1,0.1172
0.7532,0.8364,0.7035,16.62,0,0.9291,bull,0.8945,0.9985,1,0.0763
0.5145,0.5893,0.3773,30.46,2,0.8317,sideways,0.5298,0.9961,0,-0.0201
0.5679,0.9316,0.8687,18.12,0,0.0579,bull,0.9083,0.9874,1,0.0942
0.4982,0.3654,0.5114,16.61,2,0.9469,sideways,0.512,0.9978,0,-0.0002
0.7279,0.5349,0.7018,17.06,0,0.486,bull,0.7805,0.9963,1,0.0448
0.6267,0.7487,0.7867,12.47,0,0.7606,bull,0.8517,0.9977,1,0.0609
0.5348,0.2828,0.2889,16.41,2,0.1284,sideways,0.4429,0.9931,0,-0.0121
0.3466,0.5451,0.4715,43.4,1,0.5498,bear,0.3292,0.9966,0,-0.0102
0.5996,0.6963,0.7067,16.61,0,0.8724,bull,0.7941,0.9988,1,0.0423
0.3779,0.5565,0.2782,49.02,1,0.2118,bear,0.2985,0.9934,0,-0.0031
0.2398,0.2948,0.3025,45.98,1,0.7299,bear,0.2219,0.9996,0,-0.0177
0.7537,0.7996,0.9677,19.8,0,0.3117,bull,0.9524,0.9958,1,0.1336
0.0733,0.2808,0.1683,96.9,3,0.6499,crisis,0.0459,0.9964,0,-0.0181
0.174,0.1301,0.0,39.74,1,0.5176,bear,0.1271,0.9973,0,-0.0176
0.7726,0.7684,1.0,19.75,0,0.2247,bull,0.9575,0.9941,1,0.08
0.6152,0.7984,0.552,24.16,0,0.5883,bull,0.7772,0.9945,1,0.079
0.6796,0.3574,0.9531,14.43,0,0.2202,bull,0.7794,0.9704,1,0.0806
0.5108,0.5801,0.7508,15.23,0,0.6311,bull,0.7385,0.9949,1,0.0387
0.8434,0.4865,0.7286,15.6,0,0.9054,bull,0.8139,0.9889,1,0.0731
0.6067,0.3313,0.2699,26.39,2,0.0709,sideways,0.4593,0.9893,0,-0.0067
0.6377,1.0,0.7674,20.9,0,0.669,bull,0.9221,0.9888,1,0.0858
1.0,1.0,0.7127,19.86,0,0.1323,bull,1.0,0.9908,1,0.1129
0.2869,0.0053,0.2186,85.58,3,0.571,crisis,0.0492,0.9928,0,-0.0276
0.1225,0.0,0.2461,52.18,1,0.7846,bear,0.119,0.995,0,0.005
0.5111,0.7443,0.293,11.48,2,0.1904,sideways,0.5826,0.983,0,-0.0106
0.8076,0.6935,0.4399,14.55,0,0.4311,bull,0.7917,0.9882,1,0.0323
0.4005,0.3233,0.112,39.86,1,0.467,bear,0.2347,0.9926,0,-0.0206
0.4906,0.6433,0.3521,22.52,2,0.6734,sideways,0.5444,0.9929,0,-0.0153
0.0707,0.1339,0.0465,69.46,3,0.0984,crisis,0.0356,0.9993,0,-0.022
0.5947,0.2571,0.1601,47.14,1,0.3393,bear,0.2624,0.9826,0,-0.0111
0.4669,0.5921,0.6136,17.35,2,0.2487,sideways,0.5951,0.9979,0,-0.0158
0.7087,0.2396,0.5227,21.83,0,0.4486,bull,0.6123,0.9814,0,0.0064
0.2626,0.3653,0.3623,75.79,1,0.2785,bear,0.2207,0.9989,0,0.0012
0.7308,0.5089,0.509,16.02,0,0.9233,bull,0.7189,0.9945,1,0.0287
0.0867,0.1207,0.0837,61.87,1,0.8613,bear,0.0982,0.9999,0,-0.0012
0.2988,0.546,0.3155,36.39,1,0.0506,bear,0.2994,0.9936,0,0.0052
0.2039,0.0,0.131,66.24,3,0.836,crisis,0.0434,0.9964,0,-0.0238
0.2426,0.4364,0.0101,80.63,3,0.9264,crisis,0.0706,0.9848,0,-0.0165
0.4269,0.4111,0.3704,20.24,2,0.1663,sideways,0.4637,0.9997,0,-0.0183
0.3406,0.24,0.2522,35.92,1,0.2137,bear,0.2333,0.999,0,-0.0158
0.4133,0.3502,0.1045,45.99,1,0.0586,bear,0.2353,0.9911,0,-0.0025
0.4996,0.8087,0.6506,17.85,0,0.9853,bull,0.7801,0.992,1,0.0408
0.4793,0.3745,0.7572,16.3,0,0.7841,bull,0.6566,0.987,0,-0.019
0.3958,0.0,0.2868,32.89,1,0.423,bear,0.2038,0.9861,0,-0.0165
0.1547,0.0209,0.1115,85.06,3,0.9954,crisis,0.0309,0.9984,0,-0.0158
0.4254,0.0241,0.406,59.42,1,0.7184,bear,0.208,0.9829,0,-0.0347
0.6305,0.8154,0.7195,16.86,0,0.2967,bull,0.8491,0.9971,1,0.0577
0.1587,0.1266,0.2668,77.54,3,0.5792,crisis,0.0558,0.9982,0,-0.0066
0.2382,0.1525,0.2135,48.94,1,0.748,bear,0.173,0.9994,0,-0.0142
0.7935,1.0,0.8807,13.37,0,0.5842,bull,1.0,0.9964,1,0.124
0.2388,0.0,0.0984,26.29,1,0.8527,bear,0.1448,0.9952,0,-0.0135
0.7528,1.0,0.799,13.9,0,0.9608,bull,0.9829,0.9942,1,0.1132
0.4183,0.7471,0.8656,7.61,0,0.1858,bull,0.8103,0.9821,1,0.0849
0.3508,0.1669,0.4266,67.71,1,0.6752,bear,0.2173,0.9941,0,-0.0082
0.7872,0.6081,0.6225,19.15,0,0.1199,bull,0.7998,0.9967,1,0.0428
0.5107,0.4284,0.5718,21.67,2,0.2462,sideways,0.5422,0.9983,0,0.0004
0.2235,0.196,0.1042,40.56,1,0.6194,bear,0.1688,0.9987,0,-0.0062
0.4135,0.0656,0.4739,58.56,1,0.5837,bear,0.2271,0.9838,0,-0.0059
0.5815,0.0952,0.0511,27.21,1,0.9347,bear,0.2275,0.9711,0,0.005
0.8482,0.6889,0.792,9.37,0,0.7162,bull,0.9143,0.9978,1,0.1318
0.7694,0.7219,0.8589,17.41,0,0.3958,bull,0.9039,0.9984,1,0.0853
0.1814,0.3443,0.6764,58.45,1,0.3,bear,0.2724,0.9788,0,0.0059
0.6733,0.5021,0.7311,15.28,0,0.7519,bull,0.7619,0.9953,1,0.0743
0.4961,1.0,0.7263,12.87,0,0.4583,bull,0.8753,0.9788,1,0.0548
0.0,0.2735,0.1573,62.1,3,0.9961,crisis,0.0535,0.9937,0,-0.023
0.6996,1.0,0.7111,7.48,0,0.2132,bull,0.9504,0.9903,1,0.0852
0.7091,0.1606,0.7419,13.85,0,0.9333,bull,0.662,0.9645,0,-0.003
0.7773,0.669,0.4597,14.47,2,0.8793,sideways,0.6771,0.9913,0,0.0157
0.7589,0.7028,0.7464,15.99,0,0.1577,bull,0.8638,0.9997,1,0.0699
0.414,0.418,0.4951,17.28,2,0.7035,sideways,0.4974,0.9993,0,-0.0171
0.316,0.199,0.6008,18.49,1,0.9872,bear,0.2989,0.9858,0,0.0009
0.4869,0.0,0.2315,41.29,1,0.0078,bear,0.2044,0.9802,0,-0.0241
0.3833,0.3334,0.7628,24.68,2,0.2994,sideways,0.5187,0.9816,0,0.0027
0.4083,0.0242,0.1951,49.89,1,0.9389,bear,0.1776,0.9877,0,-0.0222
0.8569,0.6519,0.6938,18.55,0,0.1154,bull,0.8605,0.9961,1,0.081
0.6959,0.9319,0.5878,18.08,0,0.5532,bull,0.8719,0.9897,1,0.0862
0.7036,0.7652,0.5623,19.62,0,0.6048,bull,0.8071,0.9964,1,0.0577
0.4216,0.6574,0.3943,12.96,2,0.2036,sideways,0.5528,0.993,0,-0.0256
0.3909,0.0,0.651,24.18,1,0.264,bear,0.2756,0.9642,0,0.007
0.3317,0.2307,0.191,48.99,1,0.9053,bear,0.2051,0.9982,0,-0.0104
0.6655,0.5171,0.5225,18.18,2,0.0923,sideways,0.6082,0.9976,0,-0.0106
0.3462,0.0,0.0304,52.43,1,0.2767,bear,0.128,0.9878,0,-0.0083
0.7224,0.7037,0.8021,12.3,0,0.7711,bull,0.8739,0.9991,1,0.0592
0.3294,0.0543,0.3817,27.97,1,0.262,bear,0.223,0.9897,0,0.0003
0.5709,0.5384,0.6474,28.33,2,0.5517,sideways,0.6021,0.999,0,0.0001
0.0239,0.0,0.175,45.26,1,0.0097,bear,0.0931,0.997,0,-0.0048
0.6411,0.7374,0.6367,11.94,0,0.8831,bull,0.8105,0.9989,1,0.034
0.0577,0.0,0.0524,85.54,3,0.5456,crisis,0.0156,0.9997,0,-0.0195
0.8949,0.574,0.5277,15.71,2,0.5825,sideways,0.699,0.9867,0,-0.003
0.6637,0.7244,1.0,14.52,0,0.1274,bull,0.9138,0.9893,1,0.1058
0.6445,0.693,1.0,11.87,0,0.899,bull,0.901,0.9876,1,0.1164
0.6062,0.4156,0.5949,24.86,2,0.8607,sideways,0.568,0.9962,0,-0.0038
0.2645,0.3909,0.4629,19.63,2,0.2101,sideways,0.4329,0.9966,0,-0.0038
0.7767,0.4329,0.807,18.05,0,0.1028,bull,0.7907,0.9856,1,0.0693
0.6621,0.6251,0.5689,19.65,2,0.8841,sideways,0.6489,0.9993,0,-0.0266
0.3644,0.2915,0.3543,32.23,1,0.6207,bear,0.2709,0.9995,0,-0.0208
0.908,0.6921,0.8522,15.14,0,0.9299,bull,0.9434,0.9958,1,0.0893
0.6407,0.4226,0.5144,17.69,2,0.9762,sideways,0.5711,0.996,0,-0.0143
0.4536,0.5333,0.4282,26.28,2,0.8814,sideways,0.5137,0.999,0,-0.0189
0.722,0.6121,0.967,15.98,0,0.7366,bull,0.8832,0.989,1,0.0973
0.5272,0.7534,0.8834,15.41,0,0.9308,bull,0.8417,0.9892,1,0.0897
0.4224,0.7114,0.8448,18.19,2,0.8641,sideways,0.6741,0.9845,0,-0.0145
0.718,0.7369,0.4216,17.9,2,0.2668,sideways,0.665,0.9896,0,-0.0128
0.2983,0.3622,0.3494,16.16,2,0.1081,sideways,0.4113,0.9996,0,-0.0103
0.5351,0.7326,0.3502,24.92,2,0.8586,sideways,0.5805,0.9878,0,-0.0121
0.7426,0.835,0.5816,16.91,0,0.8166,bull,0.8548,0.9945,1,0.0743
0.3739,0.3078,0.7911,38.62,1,0.3052,bear,0.346,0.9771,0,-0.0153
0.4065,0.4167,0.4044,25.95,2,0.2276,sideways,0.4591,1.0,0,0.0042
0.6644,0.5335,0.8207,12.24,0,0.1931,bull,0.8006,0.9931,1,0.0728
0.7804,0.3969,0.9821,23.98,0,0.8644,bull,0.8197,0.9705,1,0.0517
0.1112,0.1929,0.1834,81.59,3,0.2791,crisis,0.0494,0.9993,0,0.0101
0.2735,0.0903,0.0241,37.69,1,0.3997,bear,0.146,0.9944,0,-0.0103
0.3295,0.0724,0.1724,74.84,3,0.5362,crisis,0.0604,0.9944,0,0.0019
0.4027,0.0704,0.1011,85.44,3,0.1153,crisis,0.0567,0.9888,0,-0.0032
0.3347,0.2376,0.1141,80.91,3,0.1786,crisis,0.0687,0.9959,0,0.0011
0.232,0.2261,0.2567,86.69,3,0.2655,crisis,0.0665,0.9999,0,0.0038
0.8473,0.6666,0.772,21.03,0,0.4346,bull,0.8805,0.9973,1,0.0598
0.5553,0.441,0.5043,26.39,2,0.3137,sideways,0.5354,0.9989,0,-0.0081
0.307,0.0,0.4493,51.45,1,0.5114,bear,0.1941,0.9824,0,0.0116
0.7038,0.7438,0.7874,22.89,0,0.5766,bull,0.8588,0.9994,1,0.0699
0.7919,0.8216,0.778,12.77,0,0.7088,bull,0.9308,0.9998,1,0.09
0.911,0.4947,0.7699,11.5,0,0.9256,bull,0.859,0.9851,1,0.0957
0.0715,0.1382,0.3754,60.66,1,0.7194,bear,0.1511,0.9915,0,-0.0107
0.4167,0.7822,0.2828,9.01,2,0.6706,sideways,0.5669,0.9777,0,-0.0056
0.6747,0.4958,0.8563,16.22,0,0.07,bull,0.7945,0.9892,1,0.0476
0.108,0.4245,0.43,44.01,1,0.3302,bear,0.2459,0.9887,0,0.0085
0.5895,0.3949,0.6462,14.77,0,0.848,bull,0.6724,0.9942,0,-0.0076
0.4638,0.5528,0.3123,27.22,2,0.3003,sideways,0.4922,0.9951,0,-0.0108
0.9176,0.7685,0.8185,17.85,0,0.4084,bull,0.9588,0.9981,1,0.1007
0.3964,0.5158,0.3393,52.09,1,0.2957,bear,0.3013,0.9973,0,-0.0109
0.966,0.5647,1.0,14.8,0,0.4204,bull,0.9626,0.9805,1,0.0639
0.1628,0.0478,0.2341,68.47,3,0.6773,crisis,0.0507,0.9971,0,-0.0145
0.0,0.0822,0.0,59.16,3,0.6155,crisis,0.0258,0.9993,0,-0.0024
0.8679,0.7851,0.605,14.76,0,0.5479,bull,0.8912,0.994,1,0.0782
0.5762,1.0,0.8816,13.9,0,0.2869,bull,0.9458,0.9841,1,0.0897
0.3313,0.0,0.2506,38.18,1,0.58,bear,0.1783,0.9901,0,-0.02
0.2578,0.6095,0.4282,39.29,1,0.465,bear,0.3208,0.9897,0,-0.0043
0.5099,0.4349,0.3119,38.53,1,0.2137,bear,0.3175,0.9967,0,-0.003
0.359,0.429,0.427,55.5,1,0.9012,bear,0.287,0.9995,0,-0.0154
0.6976,0.5296,0.8113,16.55,2,0.1697,sideways,0.6962,0.9933,0,0.0074
0.7797,0.5697,0.6774,13.4,0,0.5155,bull,0.8097,0.9963,1,0.0704
0.3784,0.1353,0.2951,66.42,1,0.3352,bear,0.1948,0.9949,0,0.0073
0.5654,0.5057,0.518,23.07,2,0.7511,sideways,0.5662,0.9997,0,-0.0202
0.2614,0.0,0.3798,51.47,1,0.2246,bear,0.1723,0.9874,0,-0.0148
0.9861,0.4548,0.5303,16.12,0,0.0244,bull,0.7943,0.9725,1,0.0798
1.0,0.6082,0.9118,14.81,0,0.4751,bull,0.9639,0.9859,1,0.0893
0.6325,0.5978,0.2635,27.38,2,0.0728,sideways,0.5439,0.9862,0,0.0038
0.2062,0.3292,0.3988,47.61,1,0.6298,bear,0.2372,0.9968,0,-0.0155
0.6493,0.6949,0.9259,17.72,0,0.6964,bull,0.8719,0.9927,1,0.067
0.4158,0.0,0.5298,27.6,1,0.244,bear,0.256,0.9741,0,-0.0136
0.132,0.0,0.5322,40.32,1,0.0055,bear,0.1835,0.9744,0,-0.0065
0.493,0.5716,0.5115,13.59,2,0.77,sideways,0.5769,0.9994,0,-0.0
0.6759,0.3887,0.6858,22.5,0,0.4251,bull,0.6981,0.9905,0,-0.0015
0.6977,0.6301,0.7018,25.38,0,0.958,bull,0.7886,0.9995,1,0.0654
0.3645,0.4561,0.3478,42.41,1,0.0502,bear,0.2936,0.9989,0,-0.012
0.7393,0.6926,0.8591,15.26,0,0.8483,bull,0.8872,0.9975,1,0.0921
0.2879,0.2657,0.0,54.16,1,0.8014,bear,0.1644,0.9914,0,-0.0065
0.4497,0.0,0.7177,43.6,1,0.9879,bear,0.2792,0.9562,0,0.0011
0.144,0.3726,0.0893,38.76,1,0.95,bear,0.1884,0.9925,0,0.0091
0.4714,0.5326,0.6305,22.48,2,0.6127,sideways,0.5751,0.9979,0,-0.0085
0.5547,0.8605,0.4914,21.01,2,0.5048,sideways,0.6659,0.987,0,0.0005
0.6658,0.6781,0.5958,14.28,2,0.5479,sideways,0.6807,0.9993,0,0.0063
0.328,0.5454,0.3869,19.68,2,0.7437,sideways,0.4792,0.9958,0,-0.0067
0.3482,0.3344,0.6227,49.54,1,0.2592,bear,0.3053,0.9912,0,-0.0124
0.8946,0.9379,0.5659,17.99,0,0.6377,bull,0.9364,0.9862,1,0.1013
0.4554,0.7064,0.4775,20.63,2,0.5213,sideways,0.5869,0.9936,0,-0.0117
0.3023,0.0307,0.012,60.95,1,0.2746,bear,0.1131,0.9912,0,-0.0185
0.6013,0.2693,0.6542,8.38,0,0.2857,bull,0.6465,0.9855,0,0.0064
0.9015,0.5624,1.0,19.91,0,0.3197,bull,0.9307,0.9824,1,0.0796
0.0,0.7082,0.0221,28.55,1,0.1384,bear,0.2276,0.946,0,0.0002
1.0,0.9769,0.8346,17.97,0,0.6939,bull,1.0,0.9973,1,0.1171
0.6138,0.5422,0.5156,19.69,2,0.0642,sideways,0.5962,0.9991,0,-0.0175
0.2579,0.0,0.2803,35.11,1,0.5426,bear,0.1713,0.9919,0,-0.021
0.327,0.5284,0.4837,29.29,1,0.2068,bear,0.3385,0.9963,0,-0.0199
0.4411,0.0535,0.2551,50.5,1,0.9048,bear,0.2005,0.9875,0,-0.0197
0.3158,0.0,0.1797,48.2,1,0.6955,bear,0.1522,0.9916,0,-0.0259
0.5661,0.4971,0.5829,21.12,2,0.7656,sideways,0.583,0.9993,0,0.0036
0.7688,0.6141,0.7683,17.72,0,0.0059,bull,0.8399,0.9973,1,0.069
0.7561,0.5596,0.6506,7.99,0,0.7535,bull,0.7997,0.9968,1,0.0949
0.3134,0.3961,0.3922,24.47,2,0.9534,sideways,0.4242,0.9993,0,-0.0129
0.4872,0.1153,0.3558,36.65,1,0.7475,bear,0.2553,0.9881,0,0.0115
0.1219,0.312,0.4268,49.14,1,0.6033,bear,0.2192,0.9921,0,-0.0119
0.7305,0.7088,0.7279,19.82,0,0.2194,bull,0.8442,1.0,1,0.113
0.2164,0.0,0.2823,70.8,1,0.029,bear,0.1255,0.9927,0,-0.018
0.9959,1.0,0.667,17.84,0,0.6791,bull,1.0,0.9878,1,0.1326
0.2431,0.2093,0.1837,34.85,1,0.165,bear,0.1956,0.9997,0,-0.0165
0.1164,0.2568,0.146,47.34,1,0.1276,bear,0.1592,0.9982,0,-0.0256
0.3496,0.4167,0.0,48.74,1,0.027,bear,0.2148,0.9833,0,0.0023
0.5686,1.0,0.8129,11.47,0,0.5644,bull,0.9276,0.9844,1,0.0844
0.8337,0.7152,0.8308,10.4,0,0.6427,bull,0.9278,0.9985,1,0.0889
0.5379,0.6778,0.6144,11.32,0,0.4617,bull,0.749,0.9984,1,0.0745
0.9137,0.8218,0.5862,13.42,0,0.3791,bull,0.9166,0.9905,1,0.1076
0.7713,1.0,0.809,15.96,0,0.3268,bull,0.9886,0.995,1,0.0915
0.52,0.4771,0.6062,24.78,2,0.3791,sideways,0.5635,0.9986,0,-0.0179
0.3003,0.2246,0.5762,14.48,2,0.8319,sideways,0.4298,0.9886,0,-0.0315
0.8083,1.0,0.7491,19.19,0,0.0819,bull,0.9786,0.9943,1,0.0974
0.7352,0.8838,0.7065,16.34,0,0.5394,bull,0.906,0.997,1,0.0876
0.0832,0.2988,0.1325,67.44,3,0.35,crisis,0.059,0.9957,0,-0.0046
0.1652,0.2556,0.2982,55.86,1,0.7812,bear,0.1869,0.9985,0,-0.0053
0.2962,0.4136,0.578,50.58,1,0.7542,bear,0.3021,0.9933,0,-0.0099
0.0188,0.0,0.1195,68.9,3,0.1994,crisis,0.0246,0.9986,0,-0.0119
0.7585,0.8059,0.7394,17.43,0,0.1524,bull,0.8947,0.9996,1,0.0802
0.4537,0.5121,0.7284,8.95,0,0.6695,bull,0.6997,0.993,0,-0.004
0.5296,0.4938,0.2573,59.91,1,0.218,bear,0.302,0.9927,0,-0.0085
0.2494,0.1273,0.2395,41.12,1,0.7669,bear,0.1829,0.9985,0,-0.0083
0.7741,0.7006,0.8155,20.95,0,0.6072,bull,0.8796,0.9989,1,0.0949
0.2773,0.1169,0.6401,13.17,2,0.1145,sideways,0.4085,0.976,0,-0.0122
0.3245,0.2297,0.5812,23.8,2,0.9647,sideways,0.4259,0.989,0,-0.0158
0.3613,0.5908,0.8088,7.61,0,0.0257,bull,0.7204,0.9833,1,0.0477
0.7477,0.8159,0.7679,10.13,0,0.6773,bull,0.9152,0.9996,1,0.107
0.1341,0.1459,0.0567,70.57,3,0.3967,crisis,0.0427,0.9992,0,-0.0188
0.4741,0.7568,0.2942,11.93,2,0.076,sideways,0.5749,0.9819,0,0.0047
0.2686,0.1162,0.508,38.94,1,0.6272,bear,0.2338,0.987,0,0.0083
0.8517,0.6024,1.0,11.97,0,0.7725,bull,0.941,0.9865,1,0.103
0.5449,0.6953,0.7342,20.16,2,0.6004,sideways,0.6754,0.9967,0,-0.0175
0.819,0.5645,1.0,15.68,0,0.9838,bull,0.9102,0.984,1,0.0747
0.5277,0.2979,0.3543,26.0,2,0.3472,sideways,0.4473,0.9952,0,-0.0166
0.143,0.3573,0.5371,52.19,1,0.3706,bear,0.2493,0.987,0,-0.0
0.1865,0.0,0.6003,41.77,1,0.3412,bear,0.2053,0.9685,0,-0.0125
0.6992,0.5834,0.5684,30.83,2,0.8223,sideways,0.6307,0.9983,0,-0.0164
0.8892,0.7114,0.7903,22.64,0,0.9608,bull,0.9128,0.9974,1,0.0927
0.3807,0.4645,0.227,36.61,1,0.8287,bear,0.2838,0.9952,0,-0.0204
0.205,0.8084,0.3345,18.89,2,0.4355,sideways,0.5093,0.9664,0,-0.0128
0.5461,0.6224,0.6291,17.08,2,0.9655,sideways,0.6322,0.9993,0,-0.0117
0.7924,0.6503,0.9911,17.45,0,0.8082,bull,0.925,0.9902,1,0.0997
0.3994,0.4847,0.3362,32.03,1,0.4835,bear,0.3159,0.9981,0,-0.006
0.2023,0.1443,0.4173,57.38,1,0.731,bear,0.1906,0.9931,0,-0.0098
0.7963,1.0,0.7861,28.01,0,0.8517,bull,0.9699,0.9951,1,0.1053
0.2359,0.613,0.5572,26.45,2,0.0867,sideways,0.5043,0.9862,0,-0.0033
0.4792,0.3164,0.4686,15.75,2,0.2439,sideways,0.4822,0.9972,0,-0.0158
0.3883,0.584,0.3789,33.04,1,0.6103,bear,0.3408,0.9955,0,-0.0056
0.9295,0.578,0.7299,15.07,0,0.0287,bull,0.8764,0.9896,1,0.0596
0.5972,0.4819,0.5629,15.56,2,0.1818,sideways,0.5911,0.9988,0,-0.0144
0.8584,0.6254,1.0,13.0,0,0.7978,bull,0.9495,0.9881,1,0.0944
0.8899,0.4163,0.4859,7.37,0,0.8803,bull,0.7501,0.9782,1,0.0753
0.4172,0.8837,0.4154,20.92,2,0.2763,sideways,0.6127,0.9757,0,0.0054
1.0,1.0,0.9313,20.12,0,0.9481,bull,1.0,0.9995,1,0.1119
0.8668,0.5898,0.6273,14.98,0,0.7201,bull,0.8295,0.9925,1,0.0625
0.232,0.3893,0.4911,45.88,1,0.7582,bear,0.2732,0.9943,0,0.0048
